section,run_id,method,n,metric,mean,std
chrono_main,r025_tsmixer_forecaster_atlasv2_public,TSMixer-Forecaster,3,BestF1,,
chrono_main,r025_tsmixer_forecaster_atlasv2_public,TSMixer-Forecaster,3,Precision@P80,0.0,0.0
chrono_main,r025_tsmixer_forecaster_atlasv2_public,TSMixer-Forecaster,3,Recall@P80,0.0,0.0
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,AUPRC,0.6771236699808129,0.080509477698165
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,LeadTime@P80,4.7222221692403155,3.35640162863813
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,Brier,0.03652662338758282,0.0004806625473110235
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,Analog-Fidelity@5,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,TTE-Err@1,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,AUROC,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,LogLoss,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,ECE@10,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,BestF1,,
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,Precision@P80,0.6666666666666666,0.4714045207910317
chrono_main,r005_tcn_forecaster_atlasv2_public,TCN-Forecaster,3,Recall@P80,0.23809523809523808,0.1781741612749496
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,AUPRC,0.6146520146520146,0.03223026946147828
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,LeadTime@P80,3.3333333333333335,2.3570226039551585
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,Brier,0.033931510009058544,0.0002745722141182342
chrono_main,r018_lstm_forecaster_atlasv2_public,LSTM-Forecaster,3,Analog-Fidelity@5,,
